,ESI_Key,BMK_S01_Strategic,BMK_S02_Quick,BMK_S03_Decisive,BMK_S04_Change,BMK_S05_Leading,BMK_S06_Confront,BMK_S07_Participative,BMK_S08_Build,BMK_S09_Compassion,BMK_S10_Putting,BMK_S11_Respect,BMK_D01_Interper,BMK_D02_DiffBuild,BMK_D03_DiffChange,BMK_D04_Failure,BMK_D05_Narrow,BMK_S01_Strategic_boss,BMK_S01_Strategic_direct_report,BMK_S01_Strategic_peer,BMK_S02_Quick_boss,BMK_S02_Quick_direct_report,BMK_S02_Quick_peer,BMK_S03_Decisive_boss,BMK_S03_Decisive_direct_report,BMK_S03_Decisive_peer,BMK_S04_Change_boss,BMK_S04_Change_direct_report,BMK_S04_Change_peer,BMK_S05_Leading_boss,BMK_S05_Leading_direct_report,BMK_S05_Leading_peer,BMK_S06_Confront_boss,BMK_S06_Confront_direct_report,BMK_S06_Confront_peer,BMK_S07_Participative_boss,BMK_S07_Participative_direct_report,BMK_S07_Participative_peer,BMK_S08_Build_boss,BMK_S08_Build_direct_report,BMK_S08_Build_peer,BMK_S09_Compassion_boss,BMK_S09_Compassion_direct_report,BMK_S09_Compassion_peer,BMK_S10_Putting_boss,BMK_S10_Putting_direct_report,BMK_S10_Putting_peer,BMK_S11_Respect_boss,BMK_S11_Respect_direct_report,BMK_S11_Respect_peer,BMK_D01_Interper_boss,BMK_D01_Interper_direct_report,BMK_D01_Interper_peer,BMK_D02_DiffBuild_boss,BMK_D02_DiffBuild_direct_report,BMK_D02_DiffBuild_peer,BMK_D03_DiffChange_boss,BMK_D03_DiffChange_direct_report,BMK_D03_DiffChange_peer,BMK_D04_Failure_boss,BMK_D04_Failure_direct_report,BMK_D04_Failure_peer,BMK_D05_Narrow_boss,BMK_D05_Narrow_direct_report,BMK_D05_Narrow_peer
ESI_Key,0.0,0.05486106314426225,0.012573348260465377,0.027977106327364536,0.04263302001252672,0.06179764034563069,0.022846340812765018,0.046678815066099145,0.05399839430215089,0.0260743367910758,0.03580062103501872,0.0018980121638163773,-0.0167074227038875,-0.02808074108347363,-0.009519803855780318,0.003732439695700687,-0.011353832874143027,0.09222442683244801,0.08221542719059449,0.10400156226202374,0.04834887319742772,0.04761304468996083,0.05596864878951995,0.05744900040536277,0.06997455587843343,0.07815858017799729,0.09354407848351114,0.07981247865332174,0.11558179161560544,0.08700551374900616,0.08153316852651421,0.10029888263652824,0.08589598811533672,0.07840151972149106,0.08953356550208469,0.06980529974933457,0.0717713761642611,0.10418245760628098,0.092913831539896,0.07577275714700289,0.10237131694421274,0.06114587089579317,0.052856731783192716,0.07491361754798617,0.039238530137372704,0.040516986892222454,0.06345994794353318,0.045127033252608195,0.0597202291552128,0.055336492610740376,-0.06333570598993894,-0.025495322778065595,-0.060525858434085054,-0.07030588210264031,-0.042737661954425306,-0.08033072372952506,-0.06087403855155175,-0.039223561411288424,-0.06597501427731954,-0.03940345092761837,-0.014762708021249496,-0.05717524907139846,-0.06980556850708199,-0.03097406173124516,-0.07893901518374066
BMK_S01_Strategic,0.05486106314426225,0.0,0.13414375157034608,0.11330207907032758,0.11048253005154018,0.10097711851470204,0.04397679233340096,0.019126401921412906,0.051767546980069246,-0.026681965790223916,-0.07259853364369934,0.005640955855469643,0.1408294024280731,0.1402774210185922,0.0748463519912051,0.0708406105863919,0.037480303790367486,0.09831530451249973,0.11411567455405505,0.06370964938186384,0.11063632306847154,0.10681939539033213,0.07064736255963888,0.12507340684415405,0.15524514346004584,0.10683187178574238,0.01775941207224152,0.04373780551659838,0.004958389640925098,-0.020293258182903118,0.033264132537399654,0.035048480944832996,0.037356654349699175,0.0725353480332146,0.023327042285483504,-0.03320660771801216,0.017771587244876375,-0.04592650966417468,-0.04469957654829937,0.043829472245972126,-0.018285397596051745,-0.05781568261543188,0.022656589884719358,-0.029549240238506025,-0.15843559065570517,-0.04920625550278551,-0.09217301871964477,-0.08742909083299114,0.06915810944658983,-0.055363754860843384,0.12396367318756639,0.05813322904930107,0.08273632225948391,-0.0011300339509588142,-0.014247694508024059,0.03431019203756386,-0.0315770827246126,0.004593124217905649,0.006076455604809794,-0.07656453802419068,-0.03608763517382019,0.01111266008458675,-0.08274295073885898,-0.08412240678869926,-0.0007028860260219899
BMK_S02_Quick,0.012573348260465377,0.13414375157034608,0.0,0.12958730113746214,0.09300493978790847,0.04970436642851289,-0.006105898886263783,-0.0074974050277374915,0.018426319599666008,-0.024122090262152895,-0.07576508977910368,0.013026589902071006,0.16067263867146464,0.12273299433919982,0.09186333856859752,0.023948292491112966,-0.006553613872459785,-0.009993440251588825,0.032014367353646135,0.01050481068461058,0.145542858701079,0.16346353131099245,0.1571766111402329,0.06548322194251367,0.09632271935643752,0.08402911752903415,-0.05692031349118924,-0.01598007138045028,-0.03577774162749505,-0.09244676948411416,-0.0432639579183209,0.0013526959251251025,-0.04885410196752344,0.013800241582828714,0.002385000788011127,-0.1244293698292159,-0.05782902421265868,-0.08284487957753486,-0.12836678799390816,-0.02924801057897534,-0.05292129389459087,-0.10924741556890051,-0.045090882669458585,-0.07401992585070655,-0.1963995862677089,-0.11057382501413873,-0.1128473203431978,-0.11114649056520895,0.011672335176124735,-0.06323642837413132,0.15463306125793022,0.0936467072704065,0.08799335049711526,0.06585603512235148,0.04966841701895717,0.05449663185933417,0.048253840301231456,0.05717851301932151,0.048296988020995676,-0.020823369072800062,0.020946473577880317,0.009061171756731927,-0.017172240155505017,-0.03810692123226549,0.007392758672246098
BMK_S03_Decisive,0.027977106327364536,0.11330207907032758,0.12958730113746214,0.0,0.15591809960731207,0.10648341109217291,0.15929744747272362,-0.029025063103022997,-0.0371137616680437,-0.07787496771749103,-0.15536073658085892,-0.013667740713154075,0.1757534631172153,0.04591817049422742,0.07533726182770273,-0.020737032626612695,-0.024352877689430064,0.045662660970348226,0.1103041438552517,0.02500452411950483,0.0820027741246544,0.11104588348431656,0.07028573131247082,0.21682978423040686,0.26230859923086136,0.20292630763549996,0.02051057072094095,0.05465610904534264,0.0052566847240447315,0.004431427856194048,0.044869520271145547,0.03494470401671476,0.10536982543751575,0.12181759701253628,0.090780803405774,-0.08033315287915732,-0.0024062657304364365,-0.07566471323688992,-0.09235933534932522,0.01991453240648664,-0.04809763086834946,-0.07383168916900766,0.008378864021172425,-0.05200506124762093,-0.17050638544224062,-0.05064860563323817,-0.10919668714165595,-0.09381033316232543,0.043459778128437265,-0.06921941823339275,0.1407092039707494,0.06158415890542795,0.11753734288535861,-0.01820378941365216,-0.04390901063822157,0.0072147148928365795,-0.001144133129506772,-0.014348292155694716,0.012278144657530849,-0.0555474838906523,-0.09163495551071374,-0.024099227147852887,-0.07282301345433785,-0.1392923159983162,-0.010784258910580016
BMK_S04_Change,0.04263302001252672,0.11048253005154018,0.09300493978790847,0.15591809960731207,0.0,0.16111792982143258,0.11629933182012542,0.1801905193258686,0.08924126426604984,0.08485152252074135,-0.03764504431222876,0.10709111554654277,0.04186112828525168,0.02433046665982319,0.015205709359108144,0.04949349253364688,0.038551634413988456,0.0534310894852375,0.06758833445390647,0.0035802783902021545,0.09229392015958499,0.053420881097536524,0.014215768609002678,0.13443828798828503,0.14953931522695943,0.08233069850183515,0.05839428832860144,0.03138974249582065,0.004891715619944809,0.015197318233401855,0.008670130064586487,0.04104379335068574,0.08751765669516459,0.0620255331745322,0.04132137632132235,0.009423104371997962,0.019586814169205255,-0.034763447329036384,-0.022226397768390624,0.048746484030260225,-0.0045585274206187965,-0.004616379483806637,0.023614894158527064,-0.01164066095234953,-0.1285608626635461,-0.02361643177271991,-0.06699024935014111,-0.055800341270284756,0.05651554087942131,-0.046154306407075255,0.06045256357391471,0.0414878092854361,0.04961297296903191,-0.04418517091402463,-0.019083720788114544,0.01795698314652648,-0.07144785990720794,-0.007042638774255011,-0.0003257021124847964,-0.07959301553178152,-0.01926778952460164,0.020847014734932785,-0.06703873550006445,-0.0778494974157004,0.03216557416208336
BMK_S05_Leading,0.06179764034563069,0.10097711851470204,0.04970436642851289,0.10648341109217291,0.16111792982143258,0.0,0.11620775696862684,0.1344813739027979,0.04992920952209401,0.13578733571016105,-0.008687344391513419,0.09380769889685897,0.04057510144743537,-0.02163436695785681,0.10135428575686822,0.09383004937112338,0.07998762848879687,0.03396517098463818,0.03864546517227753,-0.08768941911788689,0.05641140409713793,0.016942399296064385,-0.058442589384078106,0.12656301448051216,0.13081026041559946,0.02727212369728564,0.027581778575513638,0.02916966713243213,-0.09507823526103164,0.04347702320495528,0.03552879096704237,-0.0007124300936464101,0.09467664539539086,0.05627906623206791,-0.02312215146778271,0.014469518216547031,0.028252715390365224,-0.09763152697952897,-0.0774054566039683,0.032733022560084576,-0.09285996220852943,0.020607561286605527,0.03773735244656422,-0.0636692955742725,-0.1449882719113819,-0.023385822152030583,-0.13501463950562026,-0.04708451198323399,0.047622833896557734,-0.11227134728845159,0.09538496640451985,0.031212389757493672,0.12626486305506618,-0.05318350427141344,-0.03379838707268913,0.07359086906497571,-0.01064803921049926,0.008608873185295143,0.09879533741203514,-0.05605536050765154,-0.013982326096657872,0.09661048742351355,-0.03585488011374099,-0.06418619879426896,0.11221313421346783
BMK_S06_Confront,0.022846340812765018,0.04397679233340096,-0.006105898886263783,0.15929744747272362,0.11629933182012542,0.11620775696862684,0.0,-0.029719907568706128,-0.06414378955207856,-0.03488834287272008,-0.14355432700652893,-0.011298473757778482,0.1337891802921458,-0.012487610044176312,0.08938395089795675,0.05368731593547865,0.022089133884553747,0.0739469908819517,0.07848061685719777,0.0158638879891295,0.07074363760601964,0.037885904818079026,0.014262585616538705,0.21093462548757114,0.2114327207167419,0.13938087232497953,0.0971897758518951,0.06818077223409066,0.021104665742842567,0.07462886198712923,0.053832309067067,0.0782550834973308,0.2591615807406245,0.1642057211745658,0.16038181439430738,0.04168167993735893,0.029875708996010462,-0.02389090281639046,-0.01810740444575238,0.028708165155144474,-0.002654161169212068,0.03185898724971708,0.02809969256999207,-0.018501907647026875,-0.11482071384200937,-0.046074230201290235,-0.07669863261336693,-0.0180947003951998,0.03267359733574561,-0.03419280244085682,0.06566153123402166,0.044003559796220434,0.06945396909056484,-0.10961858962783172,-0.05814881164712109,-0.017210771833729977,-0.08432371103167716,-0.024109749477568214,-0.0014417014341950411,-0.10923400670192229,-0.06773434297837096,-0.01709708144438352,-0.11080625898898894,-0.11443713166781963,0.004244567685429836
BMK_S07_Participative,0.046678815066099145,0.019126401921412906,-0.0074974050277374915,-0.029025063103022997,0.1801905193258686,0.1344813739027979,-0.029719907568706128,0.0,0.10797484385859535,0.15739058453920918,0.008534693088818657,0.13194214003360838,-0.06732813905103652,0.045092684505078195,0.045183225147691186,0.1263670096330105,0.1033068497420549,0.12078840085149395,0.07427410429337025,0.012142141934752299,0.1310199277164499,0.05510738985951559,0.01976717934466491,0.12854934381611977,0.11901690639296293,0.0208716195523855,0.1370781325718473,0.08067738431170533,0.022335161454107536,0.09781161679222099,0.05278369723416877,0.07631834743724462,0.12483678583082179,0.06254884594756414,0.01654954408846253,0.165911522962328,0.1061290328384408,0.053303455577087155,0.09220981165244208,0.11928308836906762,0.05750875052570037,0.12454325455936602,0.10111761141408679,0.0358079724203578,-0.03836589989721341,0.05994858964228714,-0.013779874995548946,0.027655118080136015,0.08627300781661953,-0.01267063516332162,-0.06269854378895923,-0.06405852336400883,-0.046560299729063406,-0.12443118250759778,-0.06822069148947472,-0.01682369823165221,-0.14430945829629516,-0.05645075660216578,-0.046303312297268945,-0.1543721882840115,-0.06028376503805789,-0.021273242385090714,-0.12385191260695727,-0.0901247891734332,0.010065264453619549
BMK_S08_Build,0.05399839430215089,0.051767546980069246,0.018426319599666008,-0.0371137616680437,0.08924126426604984,0.04992920952209401,-0.06414378955207856,0.10797484385859535,0.0,0.04465631891164046,0.08670442865157058,0.027513270611472185,-0.038047119667024065,0.11061377857512239,0.045111248042182917,0.13605949680607626,0.10487708995942246,0.09000840966573878,0.1131025229850336,0.04071238903287272,0.08333028222466712,0.08980817084552835,0.029936162655489776,0.09006080171132187,0.1448783484315398,0.027756664831989394,0.08678096896257409,0.08374249922270724,0.02350209909333148,0.03370641978080166,0.07124313779145881,0.06313862224237755,0.04202670539835383,0.08974916104273845,0.00113919748495514,0.10278758005931646,0.10645180786414378,0.044459237560898535,0.1293979975954257,0.18264401931449717,0.12397285566938712,0.07084662841924988,0.12919395925036448,0.041335869046929236,-0.0034289259434844843,0.10741953382371394,0.05252006702560105,-0.008599062408247607,0.137619653001977,-0.002167007525345127,-0.07549203509256407,-0.09859693491947341,-0.07432711122475799,-0.08642818788921869,-0.08367168899909802,-0.023948609974013935,-0.13127833476233222,-0.09534736504069807,-0.07912704747960658,-0.13160041500570466,-0.08881272578800647,-0.01796183489385482,-0.11881443070939653,-0.13522142397772877,-0.006145115976683935
BMK_S09_Compassion,0.0260743367910758,-0.026681965790223916,-0.024122090262152895,-0.07787496771749103,0.08485152252074135,0.13578733571016105,-0.03488834287272008,0.15739058453920918,0.04465631891164046,0.0,0.0873567416700633,0.12405209873398859,-0.020603656891660105,0.043027508564749295,0.08484512711794617,0.13694857273553668,0.1164746491448912,0.07725981840420465,0.10551202668670756,0.04694577943029048,0.09533914384656744,0.081470624425708,0.04730493569660974,0.0933430650108789,0.13182060396015688,0.05705927037439497,0.09027084980249336,0.09992305786116465,0.04390724983198237,0.08762212325864435,0.10411000469877466,0.1170498420631782,0.10151885013080938,0.10556706726644957,0.05375291915694659,0.10296904633387231,0.13453098162245933,0.07178974710874095,0.055596376437387185,0.1527070516341091,0.09069953022187768,0.15322155375889074,0.2145966999358352,0.1294047560305137,-0.024218275564161937,0.14400586125121656,0.05658817875535359,0.03487199757056206,0.15795529299557498,0.04134383275097474,-0.06851200736219072,-0.09750203260153656,-0.07862929929213178,-0.11646390393642338,-0.11031983410697582,-0.06417893722896509,-0.12392219486161035,-0.07712868484469591,-0.07533099568415964,-0.12758343164667676,-0.07061782080325353,-0.05419346569362364,-0.11026224763734396,-0.10722560749785265,-0.009074110603035195
